time_s,voltage_V,current_A
+1.348190E+01,+3.421379E+00,-1.069680E+00
+1.352320E+01,+3.421363E+00,-1.069652E+00
+1.356440E+01,+3.421350E+00,-1.069620E+00
+1.360560E+01,+3.421346E+00,-1.069583E+00
+1.364680E+01,+3.421308E+00,-1.069522E+00
+1.368810E+01,+3.421299E+00,-1.069493E+00
+1.372930E+01,+3.421289E+00,-1.069473E+00
+1.377050E+01,+3.421288E+00,-1.069435E+00
+1.381180E+01,+3.421261E+00,-1.069390E+00
+1.385300E+01,+3.421259E+00,-1.069361E+00
+1.389420E+01,+3.421236E+00,-1.069332E+00
+1.393540E+01,+3.421213E+00,-1.069281E+00
+1.397670E+01,+3.421208E+00,-1.069229E+00
+1.401790E+01,+3.421191E+00,-1.069185E+00
+1.405910E+01,+3.421185E+00,-1.069151E+00
+1.410040E+01,+3.421160E+00,-1.069129E+00
+1.414160E+01,+3.421145E+00,-1.069089E+00
+1.418280E+01,+3.421132E+00,-1.069078E+00
+1.422410E+01,+3.421126E+00,-1.069013E+00
+1.426530E+01,+3.421120E+00,-1.068980E+00
+1.430650E+01,+3.421096E+00,-1.068934E+00
+1.434780E+01,+3.421090E+00,-1.068866E+00
+1.438900E+01,+3.421075E+00,-1.068830E+00
+1.443020E+01,+3.421062E+00,-1.068821E+00
+1.447150E+01,+3.421033E+00,-1.068794E+00
+1.451270E+01,+3.421031E+00,-1.068724E+00
+1.455400E+01,+3.421016E+00,-1.068718E+00
+1.459520E+01,+3.420984E+00,-1.068686E+00
+1.463640E+01,+3.420978E+00,-1.068575E+00
+1.467770E+01,+3.420984E+00,-1.068513E+00
+1.471890E+01,+3.420961E+00,-1.068510E+00
+1.476010E+01,+3.420958E+00,-1.068451E+00
+1.480140E+01,+3.420942E+00,-1.068455E+00
+1.484260E+01,+3.420904E+00,-1.068508E+00
+1.488380E+01,+3.420904E+00,-1.068506E+00
+1.492500E+01,+3.420870E+00,-1.068453E+00
+1.496630E+01,+3.420859E+00,-1.068411E+00
+1.500750E+01,+3.420847E+00,-1.068370E+00
+1.504870E+01,+3.420832E+00,-1.068347E+00
+1.508990E+01,+3.420823E+00,-1.068243E+00
+1.513110E+01,+3.420817E+00,-1.068275E+00
+1.517230E+01,+3.420785E+00,-1.068260E+00
+1.521350E+01,+3.420768E+00,-1.068236E+00
+1.525480E+01,+3.420768E+00,-1.068235E+00
+1.529600E+01,+3.420743E+00,-1.068208E+00
+1.533720E+01,+3.420730E+00,-1.068165E+00
+1.537840E+01,+3.420713E+00,-1.068117E+00
+1.541960E+01,+3.420705E+00,-1.068065E+00
+1.546080E+01,+3.420692E+00,-1.068011E+00
+1.550200E+01,+3.420686E+00,-1.068003E+00
+1.554320E+01,+3.420669E+00,-1.068001E+00
+1.558440E+01,+3.420633E+00,-1.067973E+00
+1.562560E+01,+3.420628E+00,-1.067948E+00
+1.566680E+01,+3.420601E+00,-1.067920E+00
+1.570810E+01,+3.420601E+00,-1.067826E+00
+1.574930E+01,+3.420590E+00,-1.067860E+00
+1.579050E+01,+3.420559E+00,-1.067851E+00
+1.583170E+01,+3.420542E+00,-1.067830E+00
+1.587300E+01,+3.420521E+00,-1.067812E+00
+1.591420E+01,+3.420512E+00,-1.067767E+00
+1.595540E+01,+3.420510E+00,-1.067743E+00
+1.599670E+01,+3.420495E+00,-1.067724E+00
+1.603790E+01,+3.420476E+00,-1.067656E+00
+1.607910E+01,+3.420466E+00,-1.067624E+00
+1.612040E+01,+3.420468E+00,-1.067594E+00
+1.616160E+01,+3.420442E+00,-1.067577E+00
+1.620280E+01,+3.420438E+00,-1.067523E+00
+1.624410E+01,+3.420412E+00,-1.067480E+00
+1.628530E+01,+3.420404E+00,-1.067429E+00
+1.632650E+01,+3.420381E+00,-1.067379E+00
+1.636780E+01,+3.420373E+00,-1.067317E+00
+1.640900E+01,+3.420368E+00,-1.067195E+00
+1.645020E+01,+3.420368E+00,-1.067187E+00
+1.649150E+01,+3.420362E+00,-1.067145E+00
+1.653270E+01,+3.420351E+00,-1.067148E+00
+1.657390E+01,+3.420321E+00,-1.067158E+00
+1.661520E+01,+3.420300E+00,-1.067154E+00
+1.665640E+01,+3.420294E+00,-1.067125E+00
+1.669760E+01,+3.420286E+00,-1.067080E+00
+1.673890E+01,+3.420277E+00,-1.066973E+00
+1.678010E+01,+3.420271E+00,-1.066932E+00
+1.682130E+01,+3.420252E+00,-1.066906E+00
+1.686250E+01,+3.420247E+00,-1.066874E+00
+1.690380E+01,+3.420239E+00,-1.066861E+00
+1.694500E+01,+3.420203E+00,-1.066857E+00
+1.698620E+01,+3.420190E+00,-1.066841E+00
+1.702740E+01,+3.420178E+00,-1.066792E+00
+1.706870E+01,+3.420169E+00,-1.066751E+00
+1.710990E+01,+3.420152E+00,-1.066725E+00
+1.715110E+01,+3.420133E+00,-1.066695E+00
+1.719240E+01,+3.420121E+00,-1.066651E+00
+1.723360E+01,+3.420108E+00,-1.066541E+00
+1.727490E+01,+3.420118E+00,-1.066498E+00
+1.731610E+01,+3.420106E+00,-1.066476E+00
+1.735730E+01,+3.420089E+00,-1.066524E+00
+1.739860E+01,+3.420070E+00,-1.066524E+00
+1.743980E+01,+3.420046E+00,-1.066461E+00
+1.748100E+01,+3.420042E+00,-1.066445E+00
+1.752230E+01,+3.420015E+00,-1.066444E+00
+1.756350E+01,+3.419998E+00,-1.066409E+00
+1.760470E+01,+3.419989E+00,-1.066352E+00
+1.764600E+01,+3.419974E+00,-1.066325E+00
+1.768720E+01,+3.419974E+00,-1.066301E+00
+1.772840E+01,+3.419941E+00,-1.066237E+00
+1.776970E+01,+3.419962E+00,-1.066173E+00
+1.781090E+01,+3.419932E+00,-1.066174E+00
+1.785220E+01,+3.419915E+00,-1.066211E+00
+1.789340E+01,+3.419884E+00,-1.066214E+00
+1.793460E+01,+3.419862E+00,-1.066161E+00
+1.797590E+01,+3.419862E+00,-1.066111E+00
+1.801710E+01,+3.419854E+00,-1.066036E+00
+1.805830E+01,+3.419854E+00,-1.066002E+00
+1.809950E+01,+3.419818E+00,-1.066037E+00
+1.814080E+01,+3.419812E+00,-1.066034E+00
+1.818200E+01,+3.419797E+00,-1.065989E+00
+1.822320E+01,+3.419784E+00,-1.065945E+00
+1.826450E+01,+3.419780E+00,-1.065904E+00
+1.830570E+01,+3.419757E+00,-1.065852E+00
+1.834690E+01,+3.419765E+00,-1.065755E+00
+1.838810E+01,+3.419748E+00,-1.065778E+00
+1.842930E+01,+3.419731E+00,-1.065743E+00
+1.847050E+01,+3.419718E+00,-1.065797E+00
+1.851180E+01,+3.419672E+00,-1.065822E+00
+1.855300E+01,+3.419670E+00,-1.065751E+00
+1.859410E+01,+3.419678E+00,-1.065595E+00
+1.863530E+01,+3.419672E+00,-1.065602E+00
+1.867650E+01,+3.419651E+00,-1.065552E+00
+1.871760E+01,+3.419619E+00,-1.065516E+00
+1.875880E+01,+3.419615E+00,-1.065520E+00
+1.880000E+01,+3.419610E+00,-1.065467E+00
+1.884120E+01,+3.419594E+00,-1.065438E+00
+1.888240E+01,+3.419600E+00,-1.065433E+00
+1.892360E+01,+3.419574E+00,-1.065394E+00
+1.896490E+01,+3.419553E+00,-1.065418E+00
+1.900610E+01,+3.419526E+00,-1.065423E+00
+1.904730E+01,+3.419507E+00,-1.065334E+00
+1.908850E+01,+3.419501E+00,-1.065384E+00
+1.912970E+01,+3.419475E+00,-1.065377E+00
+1.917100E+01,+3.419475E+00,-1.065335E+00
+1.921220E+01,+3.419448E+00,-1.065304E+00
+1.925340E+01,+3.419439E+00,-1.065261E+00
+1.929460E+01,+3.419437E+00,-1.065212E+00
+1.933590E+01,+3.419431E+00,-1.065183E+00
+1.937710E+01,+3.419410E+00,-1.065143E+00
+1.941840E+01,+3.419409E+00,-1.065047E+00
+1.945960E+01,+3.419391E+00,-1.065045E+00
+1.950080E+01,+3.419386E+00,-1.065026E+00
+1.954210E+01,+3.419369E+00,-1.065035E+00
+1.958330E+01,+3.419348E+00,-1.065004E+00
+1.962450E+01,+3.419357E+00,-1.064879E+00
+1.966570E+01,+3.419337E+00,-1.064909E+00
+1.970690E+01,+3.419312E+00,-1.064890E+00
+1.974820E+01,+3.419302E+00,-1.064852E+00
+1.978940E+01,+3.419289E+00,-1.064836E+00
+1.983060E+01,+3.419276E+00,-1.064817E+00
+1.987180E+01,+3.419266E+00,-1.064710E+00
+1.991310E+01,+3.419280E+00,-1.064602E+00
+1.995430E+01,+3.419262E+00,-1.064608E+00
+1.999550E+01,+3.419238E+00,-1.064557E+00
+2.003670E+01,+3.419238E+00,-1.064552E+00
+2.007800E+01,+3.419213E+00,-1.064541E+00
+2.011920E+01,+3.419209E+00,-1.064526E+00
+2.016040E+01,+3.419202E+00,-1.064499E+00
+2.020160E+01,+3.419177E+00,-1.064534E+00
+2.024290E+01,+3.419158E+00,-1.064487E+00
+2.028410E+01,+3.419149E+00,-1.064456E+00
+2.032540E+01,+3.419130E+00,-1.064425E+00
+2.036660E+01,+3.419103E+00,-1.064414E+00
+2.040790E+01,+3.419107E+00,-1.064371E+00
+2.044910E+01,+3.419097E+00,-1.064315E+00
+2.049040E+01,+3.419082E+00,-1.064196E+00
+2.053160E+01,+3.419082E+00,-1.064200E+00
+2.057280E+01,+3.419073E+00,-1.064163E+00
+2.061410E+01,+3.419065E+00,-1.064131E+00
+2.065530E+01,+3.419046E+00,-1.064077E+00
+2.069660E+01,+3.419029E+00,-1.064061E+00
+2.073780E+01,+3.419027E+00,-1.064053E+00
+2.077900E+01,+3.419012E+00,-1.063990E+00
+2.082030E+01,+3.418999E+00,-1.063969E+00
+2.086150E+01,+3.418995E+00,-1.063951E+00
+2.090270E+01,+3.418976E+00,-1.063909E+00
+2.094400E+01,+3.418965E+00,-1.063915E+00
+2.098520E+01,+3.418950E+00,-1.063918E+00
+2.102640E+01,+3.418921E+00,-1.063878E+00
+2.106770E+01,+3.418917E+00,-1.063843E+00
+2.110890E+01,+3.418906E+00,-1.063801E+00
+2.115010E+01,+3.418895E+00,-1.063766E+00
+2.119140E+01,+3.418893E+00,-1.063739E+00
